Rank,UniversityName,Year
1,Massachusetts Institute of Technology (MIT),2022
2,University of Oxford,2022
3,Stanford University,2022
4,University of Cambridge,2022
5,Harvard University,2022
6,California Institute of Technology (Caltech),2022
7,Imperial College London,2022
8,ETH Zurich,2022
9,UCL,2022
10,University of Chicago,2022
1,Massachusetts Institute of Technology (MIT),2021
2,Stanford University,2021
3,Harvard University,2021
4,California Institute of Technology (Caltech),2021
5,University of Oxford,2021
6,ETH Zurich,2021
7,University of Cambridge,2021
8,Imperial College London,2021
9,University of Chicago,2021
10,UCL,2021
1,Massachusetts Institute of Technology (MIT),2020
2,Stanford University,2020
3,Harvard University,2020
4,University of Oxford,2020
5,California Institute of Technology (Caltech),2020
6,ETH Zurich,2020
7,University of Cambridge,2020
8,UCL,2020
9,Imperial College London,2020
10,University of Chicago,2020
1,Massachusetts Institute of Technology (MIT),2019
2,University of Oxford,2019
3,Stanford University,2019
4,University of Cambridge,2019
5,Harvard University,2019
6,California Institute of Technology (Caltech),2019
7,Imperial College London,2019
8,ETH Zurich,2019
9,UCL,2019
10,University of Chicago,2019
1,Massachusetts Institute of Technology (MIT),2018
2,Stanford University,2018
3,Harvard University,2018
4,California Institute of Technology (Caltech),2018
5,University of Cambridge,2018
6,University of Oxford,2018
7,UCL,2018
8,Imperial College London,2018
9,University of Chicago,2018
10,ETH Zurich,2018
